names,prices,old_prices,star_rating,valid_ratings
"Nexus 32"" Inches FHD TV (H620B(SA) - Black + 2 Years Warranty","₦ 129,878","₦ 132,4762",4.2 out of 5,333
Hikers 43'' Frameless FHD LED TV - Black,"₦ 189,900","₦ 132,47",4.1 out of 5,298
Hikers 32'' Inches Frameless HD LED TV-Black,"₦ 115,900","₦ 168,81931",3.9 out of 5,761
"Mi+ 32"" Inches FHD TV (MI32D02A) + 12 Months Warranty - Black","₦ 114,490","₦ 182,76737",3.9 out of 5,7
"Mi+ 43"" Inches FHD TV (MI43FZ08A) - Black + 1 Year Warranty","₦ 218,571","₦ 308,08229",3.7 out of 5,3
Gstar 32 Inches TV HD LED Television + 1 Years Warranty,"₦ 2,000,000",none,5 out of 5,1
Polystar FULL HD 24-Inch Tv,"₦ 90,000","₦ 190,00053",3.9 out of 5,18
Polystar 24 Inches Full HD LED Television,"₦ 90,000","₦ 150,00040",4 out of 5,2
"itel A3250 Advanced 32"" LED TV","₦ 165,000",none,none,
"MK 19"" INCH Full HD LED TV","₦ 71,500","₦ 100,16129",none,
"Hisense 43"" Inches LED HD TV (43A5200) - Black +1 Year Warranty","₦ 282,610","₦ 327,82814",4 out of 5,43
Polystar FULL HD 24-Inch Tv,"₦ 105,000",none,none,
Polystar 24 Inches Full HD/LED TV - 24'',"₦ 90,000","₦ 190,00053",3.3 out of 5,3
"MK 32"" INCH Full HD LED TV WITH FREE WALL HANGER AND SURGE","₦ 138,000","₦ 193,35229",none,
"itel 19"" Inches HD LED TV (A23S195)  - Black + 1 Year Warranty","₦ 53,542","₦ 78,29732",4.6 out of 5,9
Hisense 32 Inches FHD LED TV (32A2N) - Black +1 Year Warranty,"₦ 177,894","₦ 181,4522",4.2 out of 5,62
"MK 32"" INCH Full HD LED TV","₦ 136,199","₦ 216,78337",none,
"itel 17"" Inches HD LED TV (A19S175)  - Black + 1 Year Warranty","₦ 52,200","₦ 66,07721",4.2 out of 5,5
MK 19 Inches Full HD LED TV,"₦ 70,971","₦ 90,00021",none,
Scanfrost 32-Inch LED Television SFLED32CL,"₦ 160,000",none,4.6 out of 5,34
"Hisense 40"" Inches LED HD TV (A4K) + Free Wall Bracket - Black + 1 Year Warranty","₦ 314,737","₦ 321,0322",4.3 out of 5,359
UFC 32 Inches  Smart Bluetooth Tv Frameless Black 2023,"₦ 170,000",none,4.4 out of 5,10
Amani 43''InchSmart Android TV With Wi-fi Function Smart Tv,"₦ 224,990","₦ 1,250,00082",4.5 out of 5,11
Century 32 Inch Full HD LED TV,"₦ 137,500","₦ 225,00039",4.6 out of 5,12
Polystar FULL HD 24-Inch Tv,"₦ 92,000",none,none,
UFC 43 Inch Full HD Bluetooth Smart Television 2020,"₦ 230,290",none,4.2 out of 5,25
"itel 19"" Inches LED TV","₦ 85,000",none,none,
Sonix 40 Inch Super HD LED TV,"₦ 186,850","₦ 398,00053",none,
"Infinity 20"" INCHE FULL HD LED TV +FREE WALL HANGER & HDMI WIRE-PROMO","₦ 62,999","₦ 79,00020",4.3 out of 5,26
Sonix 32 Inch Super HD LED TV,"₦ 127,850","₦ 170,00025",4 out of 5,2
"Infinity 40""INCHES FULL HD LED TV + Free Hanger & HDMI Wire-PROMO","₦ 187,999","₦ 200,0006",5 out of 5,1
Polystar 24 Inches Full HD/LED TV - 24,"₦ 89,999",none,4 out of 5,1
"BUC 32 Inches Frameless  Smart Television 12V AC/DC With Bluetooth For Home Theatre System And WiFi + Free BUC Hanger Free Wireless Mouse Free HDMI Cable, 2 USB Pot, HDMI Port, Soft Remote Control, Sharp Vision.","₦ 151,200","₦ 180,00016",4 out of 5,4
Samsung 32 Inch Slim HD LED TV,"₦ 169,000","₦ 299,00043",none,
Hisense 43 Inch Full HD LED TV + Free Wall Bracket + 1 Year Warranty,"₦ 296,200","₦ 399,90026",4 out of 5,24
Amani 32inch FULL HD LED Amani Tv +free Gift Inside Promo Price,"₦ 123,990","₦ 194,49036",4.3 out of 5,9
"Vision 32""Inches LED TV@ Promo Price Free Gift Inside-Black","₦ 129,990","₦ 598,00078",4.5 out of 5,2
Sonix 40 Inches Super HD Smart TV,"₦ 217,850","₦ 250,00013",3.8 out of 5,5
Infinity 32-Inch HD Digital Flat TV + Free Wall Hanger & HDMI Wire,"₦ 129,899","₦ 195,99934",4.3 out of 5,141
Energy 32”INCHE LED Energy TV Free Wall Bracket On Promo Price,"₦ 129,890","₦ 187,00031",3.9 out of 5,21
